stt,tp,c1,c2a1,c2a2,c2a3,c2a4,c2a5,c2a6,c2a7,c2a8,c2a9,c2b1,c2b2,c2b3,c2c1,c2c2,c2c3,c2c4,c2c5,c2c6,c2d1,c2d2,c2d3,c2d4,c2d5,c2d6,c3,c4.1,c4.2,c5.1,c5.2,c6.1,c6.2,c7,c8,c10,c11.1,c11.2,c12,c13,c14,c15,c16.1,c16.2,c16.3,c16.4,c16.5,c16.6,c16.7,c16.8,c16.9,c16.10,c16.11,c17.1,c17.2,c17.3,c17.4,c17.5,c18,c19.1,c19.2,c19.3,c20.1,c20.2,c20.3,c21,c22.1,c22.2,c22.3,c23a,c23b,c24a,c24b,c25,c26.1,c26.2,c26.3,c27,c28,c29a1,c29a2,c29a3,c29a4,c29a5,c29a6,c29a7,c29b1,c29b2,c29b3,c29b4,c29b5,c29b6,c29c,c30a1,c30a2,c30a3,c30a4,c30a5,c30b1,c30b2,c30b3,c30b4,c30c1,c30c2,c30c3,c30c4,c30c5,c30d1,c30d2,c31.1,c31.2,c32.a1,c32.a2,c32.a3,c32.b1,c32.b2,c32.b3,c33.1,c33.2,c33.3,c34.1,c34.2,c34.3,c35.1,c35.2,c35.3,c36.1,c36.2,c36.3,c36.4,c36.5,c36.6,c36.7,c36.8,c36.9,c36.10,c36.11,c36.12,c37.1,c37.2,c37.3,c37.4,c37.5,tuoi,sonk,gtinh,tncn,tngd,hocvan,nghe,W.TP,hocvan4n
54,1,3,1,5,8,12,13,19, , , ,1,13, ,1,5,8,12,13,19,1,3,3,3,3,1,5,1,2,3,4,2,2,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,6,4,7,7,7,7,7,7,6,6,4,1,4,12,13,14,25,5,1,2,3,6,2,0.67,4
55,1,3,13,15,16,19, , , , , ,13,19, ,13,15,16,19, , ,3,3,3,3, , ,4,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,6,7,7,5,7,7,7,7,6,6,1,3,15,16, ,24,4,2,2,2,3,9,0.67,2
56,1,3,5,7,15,17,19, , , , ,5,19, ,5,7,15,17,19, ,5,5,5,3,3, ,5,1,3,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,4,7,7,5,7,7,7,4,6,4,1,3,19, , ,29,5,2,2,2,4,6,0.67,3
57,1,3,8,13,15,16,18,19, , , ,15, , ,8,13,15,16,18,19,3,3,3,5,3,5,5,1,3,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,6,7,7,5,7,7,7,4,5,3,1,3,4,13,14,34,9,1,4,4,4,7,0.67,3
58,1,4,1,3,5,7,8,15,19, , ,3,15,19,3,5,7,8,15, ,3,3,3,3,3, ,2,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,7,4,6,5,7,7,6,5,4,4,1,3,16, , ,40,3,1,4,3,5,13,0.67,4
59,1,3,15,16,19, , , , , , ,15,16, ,1,15,16,19, , ,3,3,3,3, , ,4,1,3,3, ,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,5,7,5,7,5,6,5,5,5,1,3,19, , ,42,4,2,2,2,3,7,0.67,2
60,1,3,7,16,19, , , , , , ,19, , ,7,16,19, , , ,3,3,3, , , ,4,1, ,3, ,1,1,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,7,4,7,7,7,4,4,4,1,3,4,13, ,23,4,1,2,2,3,3,0.67,2
61,1,3,7,8,13,14,16,19, , , ,13,19, ,1,7,8,13,14,16,1,3,3,1,3,4,3,1, ,3, ,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,4,7,7,6,7,7,7,4,4,4,1,3,7,11,13,18,3,2,1,1,2,10,0.67,1
62,1,3,3,5,6,7,17,18, , , ,3,6,17,3,5,6,7,17,18,1,3,3,3,3,3,3,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,4,6,7,5,7,4,6,7,7,4,1,3,5,13,17,56,3,1,2,1,5,11,0.67,4
63,1,3,13,15,16,19, , , , , ,16, , ,13,15,16,19, , ,3,5,5,3, , ,2,3, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,5,5,7,4,7,4,7,5,5,5,1,3,13,19, ,30,2,2,3,2,3,6,0.67,2
64,1,4,6,7,13,14,17,18,19, , ,13, , ,6,7,13,14,18,19,1,2,3,3,3,1,3,1,3,3, ,1,1,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,5,7,5,7,4,7,5,5,6,1,3,4, , ,24,5,2,2,3,3,6,0.67,2
65,1,3,8,13,16,17,18, , , , ,16,17, ,8,13,16,17,18, ,1,3,2,2,2, ,3,3, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,4,4,7,4,7,4,6,5,4,4,1,3,17,19, ,29,4,2,3,2,3,7,0.67,2
66,1,3,3,5,16,17,19, , , , ,3,17, ,3,5,16,17,19, ,1,3,5,3,1, ,2,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,6,7,7,4,7,5,7,7,6,4,1,3,13, , ,40,3,1,2,1,3,8,0.67,2
67,1,4,2,3,6,10,16, , , , ,3,10, ,2,3,6,10,13,16,3,1,3,1,2,3,4,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,7,1,7,7,7,7,6,7,7,6,3,3,13,15, , ,56,5,1,3,2,6,2,0.67,4
68,1,3,15,16,19, , , , , , ,16,19, ,15,16,19, , , ,5,3,5, , , ,3,1,3,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,5,6,6,7,7,5,7,7,7,6,1,3,21, , ,28,5,1,3,2,3,6,0.67,2
69,1,4,1,8,16,17,18,19, , , ,8,19, ,1,8,16,17,18,19,1,1,4,4,4,1,4,1,3,1,3,2,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,5,7,7,7,7,7,7,7,7,4,1,3,13, , ,22,4,2,1,2,5,12,0.67,4
70,1,4,8,16,17,19, , , , , ,19, , ,8,16,17,19, , ,5,5,5,5, , ,4,1, ,3,4,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,4,7,7,5,7,7,6,7,7,4,1,3, , , ,54,4,1,3,2,3,7,0.67,2
71,1,4,8,15,16,17,19, , , , ,8, , ,19, , , , , ,1, , , , , ,4,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,7,7,7,5,7,7,5,7,6,4,1,3, , , ,34,4,2,3,2,5,14,0.67,4
72,1,4,8,14,16,17,18,19, , , ,16,17, ,8,14,16,17,18,19,5,5,5,5,5,5,3,1,3,3,4,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,5,7,7,7,7,7,6,7,7,6,1,3,19, , ,34,3,2,3,2,5,5,0.67,4
73,1,3,1,16,19, , , , , , ,16, , ,16, , , , , ,2, , , , , ,3,1, ,3, ,3,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,6,7,5,6,7,5,4,6,5,3,1,3, , , ,29,4,1,2,2,5,14,0.67,4
74,1,3,8,16,17,18,19, , , , ,16,17,18,8,16,17,18,19, ,5,5,5,5,5, ,2,1, ,1,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,7,7,7,7,4,7,7,7,7,1,3,7,18,19,44,4,1,2,1,2,9,0.67,1
75,1,4, ,1,3,5,8,13,15,16,17,3,16,19,19, , , , , ,2, , , , , ,3,1,2,2,3,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,4,7,7,4,7,6,7,7,5,4,1,3,4,13,14,30,7,1,2,2,4,1,0.67,3
76,1,3,5,8,12,13,14,16,17, , ,12,13,14,5,12,13,14,16,17,3,3,3,3,3,3,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,5,7,7,6,7,7,7,7,7,4,1,3,13,20,22,28,6,2,2,2,5,13,0.67,4
77,1,3,5,6,7,13,14,15,16, , ,13,16, ,13,14,15,16, , ,2,2,2,2, , ,5,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,5,7,7,7,7,7,4,6,7,6,1,2,3,15,19,23,11,2,2,2,3,6,0.67,2
78,1,3,2,7,10,12,14,16, , , ,10, , ,10, , , , , ,4, , , , , ,2,3, ,1,3,4,4,1, ,2, , ,3,3,1,4,2,5,7,11,15, , , , , , ,2,7,15, , ,2,1,2,3,2,3, ,2,1,3,4,3,1, , ,1,1,2, ,2,5,4,3,4,4,5,3,4,3,4,4,3,4,3,4,7,11,13,15,16,2, , , ,10,14, , , ,21, , , ,1, , , , , ,4, , , , , , , , ,3,6,6,7,7,4,7,6,7,7,6,3,3,8,12,13,17,23,4,1,3,1,5,5,0.67,4
79,1,3, ,1,5,13,15,16,19, , ,1,16,19, ,1,5,13,15,16,5,3,3,3,3,3,4,1,2,1,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,3,3,7,7,6,7,5,6,7,5,7,14,15,18,20,30,4,1,2,2,3,6,0.67,2
80,1,3,1,2,3,12,16,19, , , ,1,3,16,1,2,3,12,16,19,3,3,3,3,3,3,4,1,2,3, ,1,2,1, ,2, , ,1,4,3,1,3,5,8,19, , , , , , , ,19, , , , ,19,1,2,3,1,2, ,1,1,3,5,4,2,50,50,1,2,4, ,4,4,3,3,5,5,3,3,5,8,8,8,8,8,8,5,3,5,6,8,10,14,17, , ,9,12,13,16,20,18, , , ,1, , , , , ,4, , ,1, , ,3, , ,7,7,7,7,7,7,7,6,7,6,7,7,1,3,10,15,21,31,4,1,3,2,5,5,0.67,4
81,1,3, ,1,15,17,19, , , , ,1,19, , ,1,15,17,19, ,3,3,3,3,3, ,5,1, ,4, ,3,3,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,7,6,7,7,5,7,6,5,6,7,4,1,3,19, , ,60,9,2,2,2,3,14,0.67,2
82,1,3,1,3,6,7,16,17,19, , ,3,19, ,1,6,7,16,17,19,3,3,3,3,3,3,4,1,2,4, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,5,7,7,5,7,7,7,7,7,5,1,3,7,13,16,54,4,1,3,2,5,13,0.67,4
83,1,3,1,3,10,12,13,14,15,16,19,1,3, ,1,3,10,16,17,19,3,3,3,3,3,3,4,1, ,4, ,4,4,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,4,7,7,7,7,7,7,7,7,7,1,3,11,17,22,24,4,2,1,2,5,12,0.67,4
84,1,3,1,3,10,12, , , , , ,3,10, ,1,3,10,12, , ,2,1,1,2, , ,2,1,2,1,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,5,6,4,7,5,6,6,6,4,1,3,5,13,14,23,3,1,2,3,4,5,0.67,3
85,1,4,8,16,17,19, , , , , ,8,16, ,8,16,17,19, , ,1,1,1,1, , ,6,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,6,5,6,6,7,4,6,6,5,4,1,3,19, , ,57,6,2,2,2,5,11,0.67,4
86,1,3,16,17,19, , , , , , ,19, , ,16,19, , , , ,5,5, , , , ,2,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,1,6,7,5,7,4,5,6,4,3,1,3,4,13,19,29,3,2,2,2,3,7,0.67,2
87,1,3,8,16,17,19, , , , , ,17, , ,16,17,19, , , ,2,2,2, , , ,2,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,7,7,7,6,7,7,7,7,4,5,1,13,15,19,22,32,9,2,3,2,3,7,0.67,2
88,1,3,1,3,16,17,18, , , , ,16,17, ,1,3,16,17, , ,1,1,1,1, , ,2,2, ,1, ,3,1,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,5,6,7,5,7,7,4,6,5,4,1,3,23, , ,54,3,1,3,2,3,1,0.67,2
89,1,3,2,6,8,10,12,13,16,17,19,10,16,17,16,17, , , , ,2,2, , , , ,3,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,5,6,7,5,7,6,5,5,6,1,3,4,9,13,22,3,1,2,1,3,10,0.67,2
90,1,3,3,4,6,7,10,16,17, , ,4,7, ,16,17, , , , ,1,1, , , , ,4,2, ,3, ,1,1,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,7,6,7,7,6,7,5,5,6,6,5,1,3,7,8,13,24,4,2,2,2,5,3,0.67,4
91,1,3,3,5,16, , , , , , ,5,16, ,3,5,16, , , ,2,2,2, , , ,3,1,2,1,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,6,7,5,6,6,7,5,4,4,2,3,13, , ,23,3,1,2,1,5,3,0.67,4
92,1,3,1,5,8,10,13,14,15,16,17,13,16, ,5,13,16, , , ,3,3,3, , , ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,7,7,7,5,7,6,7,6,5,3,1,7,9,17,22,20,2,2,2,1,5,3,0.67,4
93,1,3,5,13,16, , , , , , ,13,16, ,13,16, , , , ,2,2, , , , ,2,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,6,7,4,7,6,6,6,5,4,1,3,13,22, ,32,4,2,3,2,4,7,0.67,3
94,1,3,3,13,16,19, , , , , ,13, , ,3,13,16, , , ,1,1,2, , , ,3,2, ,1,3,2,2,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,4,5,7,3,6,5,7,6,6,4,7,13,16,19,22,28,6,2,2,1,5,1,0.67,4
95,1,3,1,3,5,13,14,15,16,18, ,3,13,16,1,3,15,16, , ,1,1,2,3, , ,6,1, ,3, ,4,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,3,6,7,6,7,7,7,7,7,3,1,2,3,7,10,22,6,2,1,1,4,10,0.67,3
96,1,3,1,3,5,8,15,16,17, , ,5,16, ,1,15, , , , ,3,3, , , , ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,6,6,7,6,7,6,7,6,7,6,5,1,3,13,19, ,23,5,2,2,1,5,10,0.67,4
97,1,3,1,3,5,6,15,16,17, , ,5,16,17,1,3,16,17, , ,2,2,2,2, , ,2,1,2,1,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,6,7,7,6,7,7,7,7,6,7,3,13,14,16, ,22,2,1,2,1,5,1,0.67,4
98,1,3,8,9,13, , , , , , ,13, , ,13, , , , , ,2, , , , , ,3,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,6,7,6,7,6,7,7,5,5,1,3,7,13,22,19,4,2,1,2,4,10,0.67,3
99,1,3, ,1,3,5,6,8,13,16, ,5,8,13, ,1,3,5,8,16,1,1,1,1,1,2,4,1, ,3, ,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,5,7,7,6,7,6,7,7,7,6,1,7,13,15,19,21,4,2,1,2,4,10,0.67,3
100,1,3,3,6,8,13,16, , , , ,6,8,13,6,8,13,15,16, ,2,2,2,2,2, ,3,2, ,1, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,4,5,6,3,5,6,5,5,7,3,1,3,13, , ,23,3,2,2,1,5,1,0.67,4
101,1,3,5,13,17,18, , , , , ,13,18, ,13,18, , , , ,2,2, , , , ,2,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,5,7,4,4,7,7,6,7,5,7,1,2,3,13,14,24,2,1,2,1,5,1,0.67,4
102,1,3,3,5,10,12,15,16,17, , ,10,16, ,13,14,16, , , ,2,2,2, , , ,2,1,2,3, ,4,2,2,5,2, , ,2,2,3,2,2,3,8,11,13,15,19, , , , ,3,8,10,13,15,5,1,3,2,3, , ,2,1,3, ,2,1,10,13,2,1,2, ,1,5,3,3,4,8,4,2,3,3,3,3,4,4,3,3,13, , , , ,10,14, , ,11, , , , ,18, , , , , , , , , , , , ,1, , ,4, , ,6,7,6,4,6,4,6,2,2,4,2,2,1,2,3,14, ,27,3,1,3,2,5,5,0.67,4
103,1,3,1,3,5,8,15,16,17,18, ,3,5,17,8,16,17, , , ,1,1,1, , , ,2,1,2,1,3,2,2,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,4,6,6,6,7,5,5,5,5,5,1,2,3,13,17,26,3,1,3,2,5,5,0.67,4
104,1,4,12,16,17,19, , , , , ,19, , ,16,17,19, , , ,3,3,3, , , ,1,3, ,3, ,1,1,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,5,6,2,6,4,4,4,5,7,1,3,4,15,17,31,5,1,3,2,3,6,0.67,2
105,1,4,1,5,12,15,16,17,18,19, ,16,19, ,1,5,12,15,16,19,1,3,3,3,3,3,10,1, ,3, ,1,2,2,1,2, , ,1,5,3,2,3,19, , , , , , , , , ,3,19, , , ,19,3,1,2,2,4, ,1,1, , ,2,2, , ,4, , , ,4,4,3,4,5,4,3,3,3,5,3,4,5,4,5,3,21, , , , ,21, , , ,21, , , , ,21, , , ,4, , ,4, , , , , ,1, , ,3, , ,4,5,5,5,4,7,7,5,6,6,5,7,1,3,6,22, ,29,14,2,1,4,5,14,0.67,4
106,1,4,1,3,8,16, , , , , ,1,3, ,1,3,8,16, , ,1,1,2,2, , ,2,4, ,1, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,6,6,7,3,7,6,5,6,6,4,2,3,14,17, ,44,5,1,4,3,5,6,0.67,4
107,1,4,1,16,19, , , , , , ,16,19, ,1,16,19, , , ,1,2,5, , , ,10,3, ,3, ,2,2,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,4,7,7,7,7,4,5,5,4,2,1,3,7, , ,37,10,2,3,2,3,7,0.67,2
108,1,3,13,15,16,19, , , , , ,19, , ,13,15,16,19, , ,3,3,3,3, , ,2,1, ,3,4,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,7,6,6,6,3,6,5,7,7,7,7,1,3,7,13,15,22,7,2,1,2,4,10,0.67,3
109,1,3,8,17,19, , , , , , ,17,19, ,8,17,19, , , ,2,5,5, , , ,4,1,3,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,7,5,7,6,5,5,5,4,1,3,13, , ,55,4,2,2,2,2,11,0.67,1
110,1,4,16,17,19, , , , , , ,19, , ,13,16,17,19, , ,5,5,5,5, , ,1,3, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,7,5,7,5,6,5,5,5,1,3,4,14,20,28,10,1,5,4,5,6,0.67,4
